20 20
92 92 92 92 92 78 135 124 124 137 139 137 138 131 129 0 0 0 92 92 
92 92 92 92 77 64 138 131 125 131 124 114 141 141 0 0 0 0 92 92 
92 92 94 62 76 64 0 0 0 135 124 124 124 128 0 0 0 94 92 92 
92 92 71 77 70 63 0 0 0 138 131 124 127 121 0 0 0 94 92 92 
92 92 77 77 62 63 0 0 0 0 138 131 137 141 0 0 0 94 92 92 
92 92 77 77 25 0 0 0 0 0 0 138 126 0 0 0 0 94 92 92 
92 92 77 11 6 91 0 0 0 0 0 0 0 0 0 0 0 94 92 92 
92 92 63 15 1 0 0 0 0 0 0 0 0 91 0 0 0 94 92 92 
92 77 66 6 1 0 0 0 0 0 0 0 0 0 0 0 0 94 92 92 
92 77 76 7 5 0 0 0 0 0 0 0 0 0 0 0 0 94 92 92 
92 77 77 7 6 0 0 0 0 0 0 0 0 0 0 0 0 94 92 92 
92 92 77 9 7 0 0 0 0 0 0 0 0 0 0 7 7 94 92 92 
92 92 77 12 7 19 0 16 0 0 0 0 0 0 14 3 3 94 92 92 
92 92 73 10 12 10 0 7 93 5 7 11 24 10 7 2 3 94 92 92 
92 92 94 7 5 5 7 5 6 1 5 7 8 93 10 2 2 94 92 92 
92 92 91 3 2 2 2 7 5 10 9 9 9 5 21 2 2 94 92 92 
92 92 77 2 2 3 2 11 5 5 10 6 7 17 14 2 2 94 92 92 
92 92 74 91 91 94 94 94 94 94 94 94 94 94 94 94 94 94 92 92 
92 92 92 92 92 92 92 92 92 92 92 92 92 92 92 92 92 92 92 92 
92 92 92 92 92 92 92 92 92 92 92 92 92 92 92 92 92 92 92 92 
